1	Binance	BTC/USDT	$257,645,000	$7415.13	4.69%
2	OKEx	BTC/USDT	$218,718,000	$7412.11	3.99%
3	Bitfinex	BTC/USD	$211,428,000	$7416.50	3.85%
4	Huobi	BTC/USDT	$157,291,000	$7411.71	2.87%
5	Binance	EOS/BTC	$139,921,000	$7410.24	2.55%
6	Binance	TRX/BTC	$107,901,000	$7500.86	1.97%
7	OKEx	TRUE/BTC	$100,861,000	$7493.23	1.84%
8	bitFlyer	BTC/JPY	$92,059,800	$7487.72	1.68%
9	Huobi	LBA/BTC	$81,672,100	$7431.12	1.49%
10	BTCBOX	BTC/JPY	$81,400,800	$7290.63	1.48%
